,Taxon,X.x,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,X.y,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
11,ACHILLEA MILLEFOLIUM,4999,oreac.us,1,8,2.666666667,5.5,1.833333333,-2.5,-0.833333333,11,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB
12,ACHILLEA MILLEFOLIUM,2523,elvadrt.ee,1,6,2,20,6.666666667,14,4.666666667,11,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB
22,ALCHEMILLA PENTAPHYLLEA,5256,passogavia.it,1,175,35,269,53.8,94,18.8,34,37,NA,NA,21,NA,NA,NA,NA,FORB,PERENNIAL,FORB
23,ALLIONIA INCARNATA,1724,cerrillos.ar,1,1.88,0.94,1.25,1.25,-0.63,0.31,35,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,FORB,PERENNIAL,FORB
26,ALYSSUM DESERTORUM,4646,nplatte.us,1,10,2,6,2,-4,0,40,NA,0.1,NA,27.17578947,NA,NA,NA,NA,FORB,ANNUAL,FORB
27,AMBROSIA ARTEMISIIFOLIA,1537,cedarsav.us,1,32,8,3,1.5,-29,-6.5,41,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,FORB,ANNUAL,FORB
28,AMBROSIA PSILOSTACHYA,3857,konzadrt.us,1,108,21.6,59,11.8,-49,-9.8,43,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB
29,AMBROSIA PSILOSTACHYA,6006,slp.us,1,2,2,31,10.33333333,29,8.333333333,43,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB
30,AMBROSIA PSILOSTACHYA,4718,oklah.us,1,55.5,18.5,38,19,-17.5,0.5,43,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB
31,AMBROSIA TENUIFOLIA,4302,marcdrt.ar,1,4,1.333333333,2,1,-2,-0.333333333,44,18.2,NA,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB
32,AMBROSIA TENUIFOLIA,1902,chilcasdrt.ar,1,10.5,2.1,17.75,2.958333333,7.25,0.858333333,44,18.2,NA,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB
34,ANAGALLIS ARVENSIS,5702,scruzh.us,1,18.0659755,4.516493875,5.6818182,5.6818182,-12.3841573,1.165324325,48,25,0.187,NA,28.34396552,0.315,NA,NA,NA,FORB,ANNUAL,FORB
40,ANDROSACE SEPTENTRIONALIS,4483,mattheis.ca,1,1,1,2,1,1,0,52,19.4925,0.011,12.29704857,30.84123333,0.1,NA,79.99696667,NA,FORB,ANNUAL,FORB
41,ANDROSACE SEPTENTRIONALIS,3502,kernb.ca,1,0.5,0.5,0.5,0.5,0,0,52,19.4925,0.011,12.29704857,30.84123333,0.1,NA,79.99696667,NA,FORB,ANNUAL,FORB
47,ARENARIA SERPYLLIFOLIA,3176,jenadrt.de,1,1.5,0.5,1.5,0.5,0,0,64,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB
48,ARENARIA SERPYLLIFOLIA,3810,kiskun.hu,1,0.02,0.01,0.02,0.01,0,0,64,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB
53,ARMERIA MARITIMA,5113,paike.ar,1,3,1,2,1,-1,0,75,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,FORB,PERENNIAL,FORB
57,ARTEMISIA CAMPESTRIS,3812,kiskun.hu,1,21,7,6,3,-15,-4,79,18.886,0.353,9.064339995,18.71203,1.22,0.366498,52.76693333,0.46,FORB,PERENNIAL,FORB
58,ARTEMISIA LUDOVICIANA,1552,cedarsav.us,1,1,1,1,1,0,0,84,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
59,ARTEMISIA LUDOVICIANA,3520,kernb.ca,1,2,1,9,3,7,2,84,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
60,ARTEMISIA LUDOVICIANA,3874,konzadrt.us,1,2,2,1,1,-1,-1,84,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
61,ARTEMISIA LUDOVICIANA,1292,brookdale.ca,1,6.25,1.25,9.75,1.95,3.5,0.7,84,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
62,ARTEMISIA LUDOVICIANA,3636,kernnu.ca,1,1.5,0.75,6,3,4.5,2.25,84,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
63,ASCLEPIAS VIRIDIS,3881,konzadrt.us,1,3.1,1.033333333,6,3,2.9,1.966666667,89,NA,0.456,NA,10.46681531,NA,0.320746666,41.57111916,0.36446,FORB,PERENNIAL,FORB
64,ASPERULA CYNANCHICA,170,allmendo.ch,1,1.25,0.416666667,4.75,2.375,3.5,1.958333333,91,NA,0.284375,NA,27.91666667,0.93,0.166393875,390.8625,0.172907595,FORB,PERENNIAL,FORB
65,ASPERULA CYNANCHICA,11,allmendb.ch,1,0.5,0.25,0.25,0.25,-0.25,0,91,NA,0.284375,NA,27.91666667,0.93,0.166393875,390.8625,0.172907595,FORB,PERENNIAL,FORB
68,ASTRANTIA MAJOR,5344,pineta.es,1,3,3,24,8,21,5,101,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,FORB,NULL,FORB
76,BASSIA SCOPARIA,299,antelope.us,1,0.32,0.045714286,5.63,0.70375,5.31,0.658035714,118,32.45,1.184444444,NA,19.65690846,NA,NA,NA,NA,FORB,ANNUAL,FORB
77,BELLIS PERENNIS,3187,jenadrt.de,1,28,9.333333333,15,5,-13,-4.333333333,119,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,FORB,PERENNIAL,FORB
78,BLENNOSPORA DRUMMONDII,3363,jilpanger.au,1,2.5,0.5,1,0.5,-1.5,0,122,NA,0.06807094,NA,18.695174,NA,NA,NA,NA,FORB,ANNUAL,FORB
117,CALOTIS LAPPULACEA,2078,cobar.au,1,4,1.333333333,1,1,-3,-0.333333333,161,NA,0.5,NA,15.76,NA,NA,NA,NA,FORB,NULL,FORB
118,CALYLOPHUS SERRULATUS,4739,oklah.us,1,15,15,15,15,0,0,162,NA,NA,NA,11.69,1.33,NA,NA,NA,FORB,PERENNIAL,FORB
119,CAMASSIA QUAMASH,2121,cowidrt.ca,1,6,3,5,5,-1,2,164,NA,0.70104,NA,12.08,0.254,NA,NA,NA,GRASS,PERENNIAL,FORB
120,CAMPANULA ROTUNDIFOLIA,3646,kernnu.ca,1,0.5,0.5,1,0.5,0.5,0,167,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB
121,CARDUUS PYCNOCEPHALUS,5849,scruzl.us,1,26.3876141,8.795871367,40.2597403,20.12987015,13.8721262,11.33399878,169,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB
122,CARDUUS PYCNOCEPHALUS,5930,scruzm.us,1,6.8493151,6.8493151,35.5944514,7.11889028,28.7451363,0.26957518,169,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB
130,CAREX DISTACHYA,345,ayora.es,1,15,7.5,5,2.5,-10,-5,178,NA,0.1756,NA,4.8,0.91,NA,NA,NA,GRAMINOID,PERENNIAL,FORB
138,CELMISIA COSTINIANA,2877,falls.au,1,260,43.33333333,145,48.33333333,-115,5,194,NA,0.515,NA,9.655537,NA,NA,NA,NA,FORB,PERENNIAL,FORB
139,CENTAUREA JACEA,39,allmendb.ch,1,7,2.333333333,3,1.5,-4,-0.833333333,198,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB
140,CENTAUREA JACEA,195,allmendo.ch,1,2,1,4.5,2.25,2.5,1.25,198,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB
141,CENTAUREA JACEA,5530,rhijn.nl,1,28,7,13,6.5,-15,-0.5,198,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB
142,CENTAUREA SCABIOSA,43,allmendb.ch,1,15.5,5.166666667,21.75,7.25,6.25,2.083333333,200,22.3,0.9625,NA,16.2315625,NA,NA,NA,NA,FORB,PERENNIAL,FORB
143,CENTAUREA SCABIOSA,199,allmendo.ch,1,8.25,4.125,5.25,1.75,-3,-2.375,200,22.3,0.9625,NA,16.2315625,NA,NA,NA,NA,FORB,PERENNIAL,FORB
144,CENTIPEDA CUNNINGHAMII,5494,quilpie.au,1,8,4,10,3.333333333,2,-0.666666667,201,NA,0.2,NA,18.1,NA,NA,NA,NA,FORB,PERENNIAL,FORB
145,Centrolepis ARISTATA,3373,jilpanger.au,1,2,0.5,1,0.5,-1,0,202,19.7,0.09857143,NA,28.092362,NA,NA,NA,NA,FORB,ANNUAL,FORB
146,Centrolepis STRIGOSA,3376,jilpanger.au,1,1.5,0.5,0.5,0.5,-1,0,204,NA,0.11,NA,5.632,NA,NA,NA,NA,FORB,ANNUAL,FORB
147,CEPHALIPTERUM DRUMMONDII,2246,credoj.au,1,0.5,0.5,0.5,0.5,0,0,207,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,FORB,ANNUAL,FORB
148,CEPHALIPTERUM DRUMMONDII,2324,credom.au,1,40,20,1,1,-39,-19,207,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,FORB,ANNUAL,FORB
149,CERASTIUM ARVENSE,2561,elvadrt.ee,1,2,1,2,1,0,0,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
150,CERASTIUM ARVENSE,2034,cmss.us,1,4,2,10,5,6,3,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
151,CERASTIUM ARVENSE,2132,cowidrt.ca,1,2,2,3,1.5,1,-0.5,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
152,CERASTIUM ARVENSE,5143,paike.ar,1,2,1,1,1,-1,0,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
153,CERASTIUM ARVENSE,4421,matador.ca,1,7,3.5,1.5,0.75,-5.5,-2.75,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
154,CERASTIUM ARVENSE,3535,kernb.ca,1,5,2.5,2.5,1.25,-2.5,-1.25,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
155,CERASTIUM ARVENSE,3653,kernnu.ca,1,0.5,0.5,1.5,0.75,1,0.25,208,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB
156,CERASTIUM FONTANUM,593,bayrdrt.de,1,5.1,1.275,3.1,1.033333333,-2,-0.241666667,209,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,FORB,PERENNIAL,FORB
157,CERASTIUM FONTANUM,3200,jenadrt.de,1,4,1.333333333,1.5,0.5,-2.5,-0.833333333,209,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,FORB,PERENNIAL,FORB
158,CERASTIUM GLOMERATUM,2136,cowidrt.ca,1,2,1,4,1,2,0,210,23,0.249,14.7,23.38503171,0.11,0.231666667,318,NA,FORB,ANNUAL,FORB
159,CHAMAESCILLA CORYMBOSA,3378,jilpanger.au,1,7,1.75,0.5,0.5,-6.5,-1.25,219,23,0.4,NA,NA,NA,NA,NA,NA,FORB,PERENNIAL,FORB
160,CHENOPODIUM ALBUM,1510,cdpt_drt.us,1,0.3,0.1,0.2,0.1,-0.1,0,220,27.125,1.174877193,10.87,22.66936863,1.19,0.372010894,215.0556376,0.230308403,FORB,ANNUAL,FORB
169,CHRYSOCEPHALUM APICULATUM,3380,jilpanger.au,1,10,10,20,10,10,0,227,27.1,0.4,NA,16.64122201,NA,NA,NA,NA,FORB,PERENNIAL,FORB
170,CIRSIUM ARVENSE,3658,kernnu.ca,1,8,2.666666667,1.5,0.75,-6.5,-1.916666667,231,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB
171,CIRSIUM ARVENSE,1302,brookdale.ca,1,9.5,1.9,10.66666667,2.133333333,1.166666666,0.233333333,231,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB
172,CIRSIUM ARVENSE,2725,esw.ca,1,2,1,3,1.5,1,0.5,231,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB
173,CIRSIUM ARVENSE,453,baddrt.de,1,29.5,3.277777778,16.5,3.3,-13,0.022222222,231,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB
174,CLAYTONIA PERFOLIATA,2139,cowidrt.ca,1,23,11.5,65,21.66666667,42,10.16666667,235,NA,0.222866667,NA,52.4560081,0.1524,NA,NA,NA,FORB,NULL,FORB
175,COLLINSIA PARVIFLORA,5027,oreac.us,1,3.5,0.7,3,0.6,-0.5,-0.1,238,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
176,COLLINSIA PARVIFLORA,4910,oreaa.us,1,1.5,0.5,1.5,0.5,0,0,238,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
177,COMANDRA UMBELLATA,1560,cedarsav.us,1,87,9.666666667,20,6.666666667,-67,-3,241,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,FORB,PERENNIAL,FORB
178,COMANDRA UMBELLATA,4426,matador.ca,1,10.5,5.25,7,3.5,-3.5,-1.75,241,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,FORB,PERENNIAL,FORB
179,COMMELINA CYANEA,6342,yarradrt.au,1,2,2,2,2,0,0,243,30.634,0.1,NA,34.85,NA,0.12642,NA,0.05284,FORB,PERENNIAL,FORB
180,CONVOLVULUS ARVENSIS,3218,jenadrt.de,1,23,11.5,2,2,-21,-9.5,244,27.77,0.048,12.29,17.215475,2.24,0.574,31.40813333,NA,FORB,PERENNIAL,FORB
181,COREOPSIS PALMATA,1563,cedarsav.us,1,55,27.5,20,6.666666667,-35,-20.83333333,248,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,FORB,PERENNIAL,FORB
182,COREOPSIS PALMATA,1652,cedartrait.us,1,50,25,13,13,-37,-12,248,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,FORB,PERENNIAL,FORB
183,COREOPSIS TINCTORIA,1511,cdpt_drt.us,1,21,3.5,4.5,2.25,-16.5,-1.25,249,14.704,0.1905,12.73,14.36677143,NA,NA,28.59345,NA,FORB,ANNUAL,FORB
184,CREPIS BIENNIS,458,baddrt.de,1,34,4.857142857,26,6.5,-8,1.642857143,256,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB
185,CREPIS BIENNIS,3224,jenadrt.de,1,2.5,1.25,4,2,1.5,0.75,256,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB
186,CREPIS BIENNIS,47,allmendb.ch,1,1.75,1.75,0.5,0.5,-1.25,-1.25,256,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB
187,CREPIS CAPILLARIS,462,baddrt.de,1,9.7,1.616666667,18,9,8.3,7.383333333,257,15.3822896,0.458333333,10.7,35.00023666,0.385,NA,138,NA,FORB,ANNUAL,FORB
188,CROTON MONANTHOGYNUS,4751,oklah.us,1,4,1.333333333,3.5,1.75,-0.5,0.416666667,263,17.5,NA,NA,18.1,NA,NA,NA,NA,FORB,ANNUAL,FORB
189,CRUCIATA GLABRA,5348,pineta.es,1,0.5,0.5,0.5,0.5,0,0,265,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,FORB,NULL,FORB
199,DACTYLORHIZA MACULATA,5351,pineta.es,1,2,0.5,4.5,1.125,2.5,0.625,284,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,FORB,NULL,FORB
201,DAUCUS CAROTA,2577,elvadrt.ee,1,1,1,2,1,1,0,294,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803,FORB,BIENNIAL,FORB
209,DIANTHUS SEROTINUS,3824,kiskun.hu,1,8,8,7,3.5,-1,-4.5,304,NA,NA,NA,8.61,NA,NA,NA,NA,FORB,PERENNIAL,FORB
216,DIPLOTAXIS TENUIFOLIA,4579,naposta.ar,1,10,5,16,5.333333333,6,0.333333333,316,NA,0.575,NA,22.45,NA,NA,NA,NA,FORB,BIENNIAL,FORB
218,ECHIUM VULGARE,51,allmendb.ch,1,0.25,0.25,0.75,0.375,0.5,0.125,325,23.6,0.716666667,NA,14.45,NA,NA,NA,0.385,FORB,PERENNIAL,FORB
228,EPILOBIUM BRACHYCARPUM,4929,oreaa.us,1,7.5,1.5,4.5,0.9,-3,-0.6,344,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
229,EPILOBIUM BRACHYCARPUM,5047,oreac.us,1,7.5,1.5,7.5,1.5,0,0,344,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
230,EPILOBIUM TETRAGONUM,471,baddrt.de,1,8.12,0.812,4,0.8,-4.12,-0.012,345,NA,0.720833333,NA,15.9,NA,NA,NA,NA,FORB,PERENNIAL,FORB
231,Epipactis PALUSTRIS,5355,pineta.es,1,31,15.5,3,3,-28,-12.5,346,NA,0.4375,NA,22.62,NA,NA,NA,NA,FORB,NULL,FORB
232,EQUISETUM ARVENSE,6187,teshio.jp,1,24,4,33,5.5,9,1.5,347,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,NA,NA,FORB,PERENNIAL,FORB
233,EQUISETUM ARVENSE,2582,elvadrt.ee,1,1,1,4,1.333333333,3,0.333333333,347,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,NA,NA,FORB,PERENNIAL,FORB
237,ERIGERON ANNUUS,2741,esw.ca,1,3,1,3,1,0,0,358,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,FORB,ANNUAL,FORB
238,ERIGERON BONARIENSIS,1942,chilcasdrt.ar,1,5,5,1,1,-4,-4,362,20.2,0.46625,NA,17.6205,NA,NA,NA,NA,FORB,ANNUAL,FORB
239,ERIGERON STRIGOSUS,4776,oklah.us,1,3.5,1.75,3.5,1.75,0,0,365,15.42,0.566,NA,24.97386549,0.254,NA,NA,NA,FORB,"ANNUAL, Perennial (Oklahoma (KAEFS-OK))",FORB
240,ERIGERON STRIGOSUS,3922,konzadrt.us,1,1,1,1,1,0,0,365,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,FORB,"ANNUAL, Perennial (Oklahoma (KAEFS-OK))",FORB
242,ERODIUM CICUTARIUM,2970,gmmolar.us,1,13.5,1.928571429,27.5,3.928571429,14,2,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
243,ERODIUM CICUTARIUM,6089,spvdrt.ar,1,6,2,2,1,-4,-1,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
244,ERODIUM CICUTARIUM,2934,gmgranite.us,1,15,2.142857143,47,6.714285714,32,4.571428571,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
245,ESCHSCHOLZIA CALIFORNICA,5945,scruzm.us,1,36.4814939,7.29629878,13.0509908,4.350330267,-23.4305031,-2.945968513,383,NA,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,FORB,PERENNIAL,FORB
246,EUPHORBIA CYPARISSIAS,55,allmendb.ch,1,0.25,0.25,4,2,3.75,1.75,388,29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699,FORB,PERENNIAL,FORB
247,EUPHORBIA CYPARISSIAS,204,allmendo.ch,1,2.25,2.25,1.75,1.75,-0.5,-0.5,388,29,0.2375,8.96,6.34,0.89,0.411,6.4,0.699,FORB,PERENNIAL,FORB
248,EUPHORBIA DENTATA,4780,oklah.us,1,0.5,0.5,0.5,0.5,0,0,389,NA,NA,NA,NA,NA,0.28,NA,0.21,FORB,ANNUAL,FORB
249,EUPHORBIA DRUMMONDII,2346,credom.au,1,1,0.5,0.5,0.5,-0.5,0,390,NA,0.1276,NA,12.13032804,NA,NA,NA,NA,FORB,PERENNIAL,FORB
250,EUPHORBIA SEGUIERIANA,3826,kiskun.hu,1,4.8,1.2,12,3,7.2,1.8,396,NA,0.425,NA,18.4,1.6675,NA,NA,NA,FORB,PERENNIAL,FORB
251,EUPHRASIA MINIMA,5268,passogavia.it,1,0.05,0.0125,0.01,0.01,-0.04,-0.0025,397,26.868,0.108,NA,17.10079827,NA,NA,NA,NA,FORB,ANNUAL,FORB
252,EUTHAMIA GRAMINIFOLIA,5397,purdue.us,1,65,13,25,25,-40,12,398,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,FORB,PERENNIAL,FORB
253,EUTHAMIA GRAMINIFOLIA,1571,cedarsav.us,1,26,4.333333333,16,4,-10,-0.333333333,398,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,FORB,PERENNIAL,FORB
254,EVOLVULUS SERICEUS,784,bfl.us,1,2,1,4,1.333333333,2,0.333333333,399,NA,0.165186473,NA,13.12723643,NA,NA,NA,NA,FORB,PERENNIAL,FORB
271,FRAGARIA VESCA,2600,elvadrt.ee,1,42,14,37,12.33333333,-5,-1.666666667,416,16.48863464,0.136111111,NA,24.4032544,0.25,0.351086957,312.2441806,0.1112,FORB,PERENNIAL,FORB
272,FRAGARIA VESCA,5359,pineta.es,1,11,5.5,37,9.25,26,3.75,416,16.48863464,0.136111111,NA,24.4032544,0.25,0.351086957,312.2441806,0.1112,FORB,PERENNIAL,FORB
273,FUMANA PROCUMBENS,3830,kiskun.hu,1,20.5,6.833333333,6.5,3.25,-14,-3.583333333,420,16,0.15,NA,8.22,0.28,NA,NA,NA,FORB,PERENNIAL,FORB
274,GALIUM APARINE,479,baddrt.de,1,0.42,0.07,0.2,0.1,-0.22,0.03,427,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB
275,GALIUM APARINE,2168,cowidrt.ca,1,5,1,4,1,-1,0,427,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB
276,GALIUM BOREALE,1319,brookdale.ca,1,6.416666667,1.283333333,6.666666667,1.333333333,0.25,0.05,428,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,FORB,PERENNIAL,FORB
277,GALIUM BOREALE,3552,kernb.ca,1,8,8,0.5,0.5,-7.5,-7.5,428,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,FORB,PERENNIAL,FORB
278,GALIUM BOREALE,3671,kernnu.ca,1,2,1,8,8,6,7,428,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,FORB,PERENNIAL,FORB
279,GALIUM LUCIDUM,375,ayora.es,1,2,1,5,2.5,3,1.5,429,26,0.375,NA,40.8,NA,NA,NA,NA,VINE,PERENNIAL,FORB
280,GALIUM MOLLUGO,5552,rhijn.nl,1,155,25.83333333,50,25,-105,-0.833333333,430,29.6653889,0.57825,12.06782427,21.5515698,NA,0.105319476,406.1581499,0.264461111,FORB,ANNUAL,FORB
281,GALIUM SAXATILE,4129,lygraint.no,1,3,3,2,1,-1,-2,432,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,FORB,NULL,FORB
282,GALIUM VERUM,213,allmendo.ch,1,5.25,1.75,1.75,0.875,-3.5,-0.875,433,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,FORB,PERENNIAL,FORB
283,GAURA COCCINEA,1516,cdpt_drt.us,1,2,2,1,1,-1,-1,435,NA,NA,NA,14.93401246,0.47,NA,7.307967,0.345,FORB,PERENNIAL,FORB
