Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,
ACLEISANTHES CHENOPODIOIDES,,,,,,,,,,,,
ACTINOBOLE ULIGINOSUM,,0.015,,18.35659068,,,,,"height, SLA TRY",,,
AGATHISANTHEMUM CHLOROPHYLLUM,,,,,,,,,,,,
AGROPYRON CRISTATUM,15.25,0.4498,9.53,13.44438801,0.4572,0.483923882,39.92666667,0.128451606,"leafN, height, SLA, depth from TRY","rootN,SRL, diam from groot",RTD from Cahill 2020 ERA ,
AGROSTIS GIGANTEA,16.68362281,0.94615,,25.95773333,0.3556,,,,"height, SLA, depth from TRY",leafN from Mori_lab_Teshio,,
ALKANNA TINCTORIA,11.2,0.4,,31.44654088,,,,,"leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv,,
ALLIUM VINEALE,,0.5375,,17.40703293,,,,,"height, SLA from TRY",,,
ALTERNANTHERA SESSILIS,20,0.3,9.62,13.2,,,46.03,0.292,"height, SLA from TRY","rootN,SRL, diam from groot",leafN from Komatsu et al. 2024 EDI,
AMBROSIA DELTOIDEA,44.19,0.4,,2.617596281,,,,,"leafN, SLA, height from Carmona et al. 2021 Sci Adv",,,
ANDROPOGON LATERALIS,,0.317521698,,11.88385917,,,,,height from TRY,SLA from Streit et al. 2022 J Veg Sci,,
ANEMONE CYLINDRICA,21.49286663,0.378666667,18.61450125,15.51323914,,0.19,77,0.36,"height, SLA from TRY","rootN, RTD, SRL, diam from groot",leafN from Komastu et al. 2024 EDI,
ANTENNARIA MEDIA,,,,,,,,,,,,
ARGYLIA RADIATA,,,,,,,,,,,,
ARISTIDA VENUSTULA,,0.12335,,,,,,,height from TRY,,,
ARISTOLOCHIA CHILENSIS,,,,17.43,,,,,SLA from LEDA,,,
ASCLEPIAS TUBEROSA,26.19666667,0.5748,19.260113,24.40050548,0.4064,0.22,36.66666667,0.5,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam from groot",,
ASPILIA MONTEVIDENSIS,,0.13843125,,,,,,,height from TRY,,,
ATRIPLEX PROSTRATA,,0.916666667,,19.49884967,,0.262341772,153.549483,0.1807,"height, SLA from TRY","RTD, SRL, diam from groot",,
AVENA FATUA,28.3,1.0564,,21.775,0.2032,,36.25648864,,"leafN, height, SLA, depth from TRY",SRL from Kandlikar et al. 2022 Functional Ecol,,
AXONOPUS POLYDACTYLUS,,,,,,,,,,,,
BACCHARIS TENELLA,,,,,,,,,,,,
BRACHYCOME CAMPYLOCARPA,,,,,,,,,,,,
BROMUS CATHARTICUS,38.8161479,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,"height, SLA, depth from TRY","rootN, RTD, SRL, diam from groot",leafN from Nutnet,
BULBINE BULBOSA,,0.4,,33.38,,,,,"height, SLA from TRY",,,
CALAMAGROSTIS VIRIDIFLAVESCENS,,0.487958333,,,,,,,height from TRY,,,
CALANDRINIA CILIATA,21.1,0.0254,,26.31594056,,,467.4714912,,leafN from Komatsu et al. 2024 Environmental Data Initiative,"height, SLA, SRL from Aoyama et al. 2023 Func Ecol",,
CALOTIS CYMBACANTHA,,0.4,,,,,,,height from austraits,,,
CALOTIS PORPHYROGLOSSA,,0.4,,,,,,,height from austraits,,,
CARDUUS ACANTHOIDES,17.22267499,1.075,,19.6,,,652.6,,"height, SLA from TRY",SRL from Lachaise et al. 2021 Oikos,Jin et al. 2023 Earth Syst. Sci. Data TipLeaf,
CARDUUS CRISPUS,,1.4625,,23.6,,,,,"height, SLA from TRY",,,
CARDUUS NUTANS,33,1.15,,12.96666667,,,,,"leafN, height, SLA from TRY",,,
CENTAURIUM PULCHELLUM,,0.106666667,,44.47,,,,,"height, SLA from TRY",,,
